"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"CD3D",0,0.0723985125784387,0,0,0,0,0,0,0,0,0.621863025087974,0,0,0,0,0,1.17210463135431,0,0,0
"CD3E",0,0,0,0,0.0875848960780446,0,0,0,0,0,0.472118968136533,0,0,0,0,0,1.19633495976512,0,0,0
"CD7",0,0.197559342756887,0.0754439698642575,0,0.30902553577071,0,0,0.130218381415513,0.509554928941907,0,0.682936238390824,0,0.45840101697012,0,0.360218551893469,0,1.39561737041539,0,0,0
"CD74",0.439332398658498,0.892566328307608,0.779827253092665,1.00800932437873,0.728340093908858,1.15925899902098,0.5919827712889,0.760502053077848,1.1606348819306,0.376371666297456,0.34262732040807,0,1.37284195240601,0.518600654465015,1.01948406525195,1.13251995988029,1.40026667590759,1.485963417578,0.727276775948183,0
"CD8A",0,0,0,0,0,0.0845092373733192,0,0,0,0,0,0,0,0,0,0,1.23417708805066,0,0,0
"CD8B",0,0,0,0,0,0,0,0,0,0.277081051472646,0,0,0,0,0,0,1.10984133087329,0,0,0
"CD93",0,0.0778230354437056,0,0,0.0939899633826062,0,0.966685587546525,0.124008533766152,0,1.04322683513519,0.669221392123803,0,1.29159993880032,0.927469076071021,0,1.15506514431885,0,1.36772958863815,0,0
"CD96",0,0.0578132272466308,0.0759955659010308,0,0,0.11242204487768,0,0,0,0,0.549756058122034,0,0,0,0,0,1.15501628594679,0,0,0
"CDH11",0,0,0,0,0,0.190094387946386,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06115273601676
"CDH5",0,0,0,0,0.0842196786523789,0.104920097418186,0,0,0,0,0,0,1.12253473502025,0,0,0,0,0,0,0
"CDK15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723731131041956,0,0,0,0,0
"CDK5R2",0,0,0,0,0,0,0,0,0,0,0,0.974876830602695,0,0,0,0,0,0,0,0
